episode,target,kind,target_x,target_y,camera,split,task_index,red_cube_x,red_cube_y,blue_cube_x,blue_cube_y,green_cylinder_x,green_cylinder_y,yellow_box_x,yellow_box_y
1,red_cube,nominal,0.22,-0.08,table,train,0,0.22,-0.08,0.0791,0.0605,0.1158,-0.0912,0.3433,-0.1254
2,red_cube,nominal,0.22,-0.08,table,train,0,0.22,-0.08,-0.0219,0.1978,0.1363,-0.0001,0.1788,-0.1645
3,red_cube,nominal,0.22,-0.08,table,train,0,0.22,-0.08,0.3087,-0.1789,0.4525,0.1993,0.2899,0.1635
4,red_cube,nominal,0.22,-0.08,table,train,0,0.22,-0.08,0.0098,-0.0967,0.3881,0.0722,0.5302,-0.1009
5,red_cube,x_var,0.2,-0.08,table,train,0,0.2,-0.08,0.0169,0.0375,0.3606,-0.0252,-0.0179,0.2159
6,red_cube,x_var,0.21,-0.08,table,train,0,0.21,-0.08,0.5038,0.1212,0.1385,-0.1519,0.3777,-0.1507
7,red_cube,x_var,0.23,-0.08,table,train,0,0.23,-0.08,0.4679,0.0966,0.4829,-0.1597,0.5379,0.0013
8,red_cube,x_var,0.24,-0.08,table,train,0,0.24,-0.08,0.4222,0.0441,0.0068,0.0117,0.5185,-0.0144
9,red_cube,y_var,0.22,-0.1,table,train,0,0.22,-0.1,0.2624,0.2054,0.3569,-0.0304,0.4271,-0.0698
10,red_cube,y_var,0.22,-0.09,table,train,0,0.22,-0.09,0.0712,0.1694,0.3406,-0.1432,0.2991,0.1493
11,red_cube,y_var,0.22,-0.07,table,train,0,0.22,-0.07,0.5187,-0.1348,0.4286,0.1885,0.5477,-0.0099
12,red_cube,y_var,0.22,-0.06,table,train,0,0.22,-0.06,0.5089,0.1008,0.3901,0.0425,0.0687,-0.0772
13,red_cube,heldout,0.22,-0.08,heldout,heldout,0,0.22,-0.08,0.2465,-0.1716,0.5182,-0.0914,0.3583,0.1076
14,red_cube,heldout,0.21,-0.08,heldout,heldout,0,0.21,-0.08,0.5406,0.0133,0.3523,0.0094,0.3333,-0.1246
15,red_cube,heldout,0.22,-0.07,heldout,heldout,0,0.22,-0.07,0.1322,-0.0946,0.347,0.1208,0.4276,0.0168
16,blue_cube,nominal,0.1,-0.06,table,train,1,0.4068,0.0728,0.1,-0.06,0.063,0.0616,-0.0252,0.0285
17,blue_cube,nominal,0.1,-0.06,table,train,1,0.4972,0.1774,0.1,-0.06,0.4208,-0.0101,0.5452,-0.1067
