x,y,solved,elbow_up
-0.100,-0.250,1,1
-0.100,-0.210,1,1
-0.100,-0.170,1,1
-0.100,-0.130,1,1
-0.100,-0.090,1,1
-0.100,-0.050,1,1
-0.100,-0.010,1,1
-0.100,0.030,1,1
-0.100,0.070,0,0
-0.100,0.110,1,1
-0.100,0.150,1,1
-0.100,0.190,1,1
-0.100,0.230,1,1
-0.100,0.270,1,1
-0.100,0.310,1,1
-0.060,-0.250,1,1
-0.060,-0.210,1,1
-0.060,-0.170,1,1
-0.060,-0.130,1,1
-0.060,-0.090,1,1
-0.060,-0.050,1,1
-0.060,-0.010,0,0
-0.060,0.030,0,0
-0.060,0.070,0,0
-0.060,0.110,1,1
-0.060,0.150,1,1
-0.060,0.190,1,1
-0.060,0.230,1,1
-0.060,0.270,1,1
-0.060,0.310,1,1
-0.020,-0.250,1,1
-0.020,-0.210,1,1
-0.020,-0.170,1,1
-0.020,-0.130,1,1
-0.020,-0.090,1,1
-0.020,-0.050,0,0
-0.020,-0.010,0,0
-0.020,0.030,0,0
-0.020,0.070,0,0
-0.020,0.110,1,1
-0.020,0.150,1,1
-0.020,0.190,1,1
-0.020,0.230,1,1
-0.020,0.270,1,1
-0.020,0.310,1,1
0.020,-0.250,1,1
0.020,-0.210,1,1
0.020,-0.170,1,1
0.020,-0.130,1,1
0.020,-0.090,1,1
0.020,-0.050,0,0
0.020,-0.010,0,0
0.020,0.030,0,0
0.020,0.070,1,1
0.020,0.110,1,1
0.020,0.150,1,1
0.020,0.190,1,1
0.020,0.230,1,1
0.020,0.270,1,1
0.020,0.310,1,1
0.060,-0.250,1,1
0.060,-0.210,1,1
0.060,-0.170,1,1
0.060,-0.130,1,1
0.060,-0.090,1,1
0.060,-0.050,1,1
0.060,-0.010,0,0
0.060,0.030,0,0
0.060,0.070,1,1
0.060,0.110,1,1
0.060,0.150,1,1
0.060,0.190,1,1
0.060,0.230,1,1
0.060,0.270,1,1
0.060,0.310,1,1
0.100,-0.250,1,1
0.100,-0.210,1,1
0.100,-0.170,1,1
0.100,-0.130,1,1
0.100,-0.090,1,1
0.100,-0.050,1,1
0.100,-0.010,1,1
0.100,0.030,1,1
0.100,0.070,1,1
0.100,0.110,1,1
0.100,0.150,1,1
0.100,0.190,1,1
0.100,0.230,1,1
0.100,0.270,1,1
0.100,0.310,1,1
0.140,-0.250,1,1
0.140,-0.210,1,1
0.140,-0.170,1,1
0.140,-0.130,1,1
0.140,-0.090,1,1
0.140,-0.050,1,1
0.140,-0.010,1,1
0.140,0.030,1,1
0.140,0.070,1,1
0.140,0.110,1,1
0.140,0.150,1,1
0.140,0.190,1,1
0.140,0.230,1,1
0.140,0.270,1,1
0.140,0.310,1,1
0.180,-0.250,1,1
0.180,-0.210,1,1
0.180,-0.170,1,1
0.180,-0.130,1,1
0.180,-0.090,1,1
0.180,-0.050,1,1
0.180,-0.010,1,1
0.180,0.030,1,1
0.180,0.070,1,1
0.180,0.110,1,1
0.180,0.150,1,1
0.180,0.190,1,1
0.180,0.230,1,1
0.180,0.270,1,1
0.180,0.310,0,0
0.220,-0.250,1,1
0.220,-0.210,1,1
0.220,-0.170,1,1
0.220,-0.130,1,1
0.220,-0.090,1,1
0.220,-0.050,1,1
0.220,-0.010,1,1
0.220,0.030,1,1
0.220,0.070,1,1
0.220,0.110,1,1
0.220,0.150,1,1
0.220,0.190,1,1
0.220,0.230,1,1
0.220,0.270,0,0
0.220,0.310,0,0
0.260,-0.250,0,0
0.260,-0.210,1,1
0.260,-0.170,1,1
0.260,-0.130,1,1
0.260,-0.090,1,1
0.260,-0.050,1,1
0.260,-0.010,1,1
0.260,0.030,1,1
0.260,0.070,1,1
0.260,0.110,1,1
0.260,0.150,1,1
0.260,0.190,1,1
0.260,0.230,0,0
0.260,0.270,0,0
0.260,0.310,0,0
0.300,-0.250,0,0
0.300,-0.210,0,0
0.300,-0.170,1,1
0.300,-0.130,1,1
0.300,-0.090,1,1
0.300,-0.050,1,1
0.300,-0.010,1,1
0.300,0.030,1,1
0.300,0.070,1,1
0.300,0.110,1,1
0.300,0.150,1,1
0.300,0.190,0,0
0.300,0.230,0,0
0.300,0.270,0,0
0.300,0.310,0,0
0.340,-0.250,0,0
0.340,-0.210,0,0
0.340,-0.170,0,0
0.340,-0.130,0,0
0.340,-0.090,0,0
0.340,-0.050,1,1
0.340,-0.010,1,1
0.340,0.030,1,1
0.340,0.070,0,0
0.340,0.110,0,0
0.340,0.150,0,0
0.340,0.190,0,0
0.340,0.230,0,0
0.340,0.270,0,0
0.340,0.310,0,0
0.380,-0.250,0,0
0.380,-0.210,0,0
0.380,-0.170,0,0
0.380,-0.130,0,0
0.380,-0.090,0,0
0.380,-0.050,0,0
0.380,-0.010,0,0
0.380,0.030,0,0
0.380,0.070,0,0
0.380,0.110,0,0
0.380,0.150,0,0
0.380,0.190,0,0
0.380,0.230,0,0
0.380,0.270,0,0
0.380,0.310,0,0
0.420,-0.250,0,0
0.420,-0.210,0,0
0.420,-0.170,0,0
0.420,-0.130,0,0
0.420,-0.090,0,0
