t,phase,dz,bz,ex,ey,ez
0.482,grasp,0.15297,0.02,0.25001,0.0,0.11
0.866,grasp,0.15297,0.02,0.25001,0.0,0.11
1.134,grasp,0.15297,0.02,0.25001,0.0,0.11
1.345,grasp,0.15297,0.02,0.25001,0.0,0.11
1.534,grasp,0.15297,0.02,0.25001,0.0,0.11
1.73,grasp,0.15297,0.02,0.25001,0.0,0.11
1.941,grasp,0.15297,0.02,0.25001,0.0,0.11
2.12,grasp,0.15297,0.02,0.25001,0.0,0.11
2.296,grasp,0.15297,0.02,0.25001,0.0,0.11
2.544,grasp,0.15297,0.02,0.25001,0.0,0.11
2.781,grasp,0.15297,0.02,0.25001,0.0,0.11
2.983,grasp,0.15297,0.02,0.25001,0.0,0.11
3.219,grasp,0.15297,0.02,0.25001,0.0,0.11
3.398,grasp,0.15297,0.02,0.25001,0.0,0.11
3.591,grasp,0.15297,0.02,0.25001,0.0,0.11
3.767,grasp,0.15297,0.02,0.25001,0.0,0.11
3.935,grasp,0.15297,0.02,0.25001,0.0,0.11
4.149,grasp,0.15297,0.02,0.25001,0.0,0.11
4.332,grasp,0.15297,0.02,0.25001,0.0,0.11
4.517,grasp,0.15297,0.02,0.25001,0.0,0.11
4.701,grasp,0.15297,0.02,0.25001,0.0,0.11
4.967,grasp,0.15297,0.02,0.25001,0.0,0.11
5.14,grasp,0.15297,0.02,0.25001,0.0,0.11
5.321,grasp,0.15297,0.02,0.25001,0.0,0.11
5.491,grasp,0.15297,0.02,0.25001,0.0,0.11
5.697,grasp,0.15297,0.02,0.25001,0.0,0.11
5.885,grasp,0.15297,0.02,0.25001,0.0,0.11
6.058,grasp,0.15297,0.02,0.25001,0.0,0.11
6.288,grasp,0.15297,0.02,0.25001,0.0,0.11
6.449,grasp,0.15297,0.02,0.25001,0.0,0.11
6.627,grasp,0.15297,0.02,0.25001,0.0,0.11
6.819,grasp,0.15297,0.02,0.25001,0.0,0.11
6.979,grasp,0.15297,0.02,0.25001,0.0,0.11
7.164,grasp,0.15297,0.02,0.25001,0.0,0.11
7.324,grasp,0.15297,0.02,0.25001,0.0,0.11
7.509,grasp,0.15297,0.02,0.25001,0.0,0.11
7.726,grasp,0.15297,0.02,0.25001,0.0,0.11
7.913,grasp,0.15297,0.02,0.25001,0.0,0.11
8.096,grasp,0.15297,0.02,0.25001,0.0,0.11
8.262,grasp,0.15297,0.02,0.25001,0.0,0.11
8.444,grasp,0.15297,0.02,0.25001,0.0,0.11
8.615,grasp,0.15297,0.02,0.25001,0.0,0.11
8.771,grasp,0.15297,0.02,0.25001,0.0,0.11
8.936,grasp,0.15297,0.02,0.25001,0.0,0.11
9.124,grasp,0.15297,0.02,0.25001,0.0,0.11
9.31,grasp,0.15297,0.02,0.25001,0.0,0.11
9.53,grasp,0.15297,0.02,0.25001,0.0,0.11
9.775,grasp,0.15297,0.02,0.25001,0.0,0.11
9.991,grasp,0.15297,0.02,0.25001,0.0,0.11
10.208,grasp,0.15297,0.02,0.25001,0.0,0.11
10.41,grasp,0.15297,0.02,0.25001,0.0,0.11
10.643,grasp,0.15297,0.02,0.25001,0.0,0.11
10.891,grasp,0.15297,0.02,0.25001,0.0,0.11
11.159,grasp,0.15297,0.02,0.25001,0.0,0.11
11.358,grasp,0.15297,0.02,0.25001,0.0,0.11
11.552,grasp,0.15297,0.02,0.25001,0.0,0.11
11.751,grasp,0.15297,0.02,0.25001,0.0,0.11
11.933,grasp,0.15297,0.02,0.25001,0.0,0.11
12.11,grasp,0.15297,0.02,0.25001,0.0,0.11
12.311,grasp,0.15297,0.02,0.25001,0.0,0.11
12.493,grasp,0.15297,0.02,0.25001,0.0,0.11
12.679,grasp,0.15297,0.02,0.25001,0.0,0.11
12.879,grasp,0.15297,0.02,0.25001,0.0,0.11
13.141,grasp,0.15297,0.02,0.25001,0.0,0.11
13.347,grasp,0.15297,0.02,0.25001,0.0,0.11
13.536,grasp,0.15297,0.02,0.25001,0.0,0.11
13.732,grasp,0.15297,0.02,0.25001,0.0,0.11
13.941,grasp,0.15297,0.02,0.25001,0.0,0.11
14.13,grasp,0.15297,0.02,0.25001,0.0,0.11
14.346,grasp,0.15297,0.02,0.25001,0.0,0.11
14.563,grasp,0.15297,0.02,0.25001,0.0,0.11
14.767,grasp,0.15297,0.02,0.25001,0.0,0.11
14.966,grasp,0.15297,0.02,0.25001,0.0,0.11
15.158,grasp,0.15297,0.02,0.25001,0.0,0.11
15.363,grasp,0.15297,0.02,0.25001,0.0,0.11
15.554,grasp,0.15297,0.02,0.25001,0.0,0.11
15.755,grasp,0.15297,0.02,0.25001,0.0,0.11
15.948,grasp,0.15297,0.02,0.25001,0.0,0.11
16.132,grasp,0.15297,0.02,0.25001,0.0,0.11
16.337,grasp,0.15297,0.02,0.25001,0.0,0.11
16.529,grasp,0.15297,0.02,0.25001,0.0,0.11
16.736,grasp,0.15297,0.02,0.25001,0.0,0.11
16.959,grasp,0.15297,0.02,0.25001,0.0,0.11
17.168,grasp,0.15297,0.02,0.25001,0.0,0.11
17.387,grasp,0.15297,0.02,0.25001,0.0,0.11
17.631,grasp,0.15297,0.02,0.25001,0.0,0.11
17.849,grasp,0.15297,0.02,0.25001,0.0,0.11
18.148,grasp,0.15297,0.02,0.25001,0.0,0.11
18.332,grasp,0.15297,0.02,0.25001,0.0,0.11
18.514,grasp,0.15297,0.02,0.25001,0.0,0.11
18.716,grasp,0.15297,0.02,0.25001,0.0,0.11
18.898,grasp,0.15297,0.02,0.25001,0.0,0.11
19.085,grasp,0.15297,0.02,0.25001,0.0,0.11
19.269,grasp,0.15297,0.02,0.25001,0.0,0.11
19.466,grasp,0.15297,0.02,0.25001,0.0,0.11
19.699,grasp,0.15297,0.02,0.25001,0.0,0.11
19.897,grasp,0.15297,0.02,0.25001,0.0,0.11
20.104,grasp,0.15297,0.02,0.25001,0.0,0.11
20.302,grasp,0.15297,0.02,0.25001,0.0,0.11
20.498,grasp,0.15297,0.02,0.25001,0.0,0.11
20.679,grasp,0.15297,0.02,0.25001,0.0,0.11
20.877,grasp,0.15297,0.02,0.25001,0.0,0.11
21.149,grasp,0.15297,0.02,0.25001,0.0,0.11
21.375,grasp,0.15293,0.02,0.25001,-6e-05,0.11
21.584,grasp,0.15212,0.02,0.25003,-0.00109,0.11
21.758,grasp,0.15055,0.02,0.25005,-0.00312,0.11
21.922,grasp,0.14798,0.02,0.25004,-0.00644,0.11
22.114,grasp,0.14443,0.02,0.24995,-0.01109,0.11
22.294,grasp,0.13997,0.02,0.24972,-0.01701,0.11001
22.457,grasp,0.13476,0.02,0.24924,-0.02406,0.11001
22.639,grasp,0.129,0.02,0.24844,-0.03208,0.11001
22.843,grasp,0.12088,0.02,0.24676,-0.04389,0.11001
23.038,grasp,0.1148,0.02,0.245,-0.05327,0.11001
23.201,grasp,0.10906,0.02,0.2428,-0.0628,0.11001
23.37,grasp,0.10389,0.02,0.2402,-0.07222,0.11001
23.546,grasp,0.10286,0.02,0.23971,-0.07402,0.10988
23.731,grasp,0.10047,0.02,0.2388,-0.0778,0.10922
23.905,grasp,0.09703,0.02,0.23779,-0.08259,0.10775
24.125,grasp,0.09427,0.02,0.23716,-0.08602,0.10625
24.334,grasp,0.08777,0.02,0.23611,-0.09293,0.10192
24.543,grasp,0.08211,0.02,0.23552,-0.09784,0.09753
24.924,grasp,0.07587,0.02,0.23504,-0.10235,0.09224
25.36,grasp,0.06675,0.02,0.23443,-0.10758,0.08398
25.789,grasp,0.05696,0.02,0.23365,-0.11181,0.07469
26.266,grasp,0.04936,0.02,0.23285,-0.11433,0.06732
26.772,grasp,0.0392,0.02,0.2314,-0.11683,0.05738
