index,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,camera,image_path
0,-0.2852,-0.4969,-0.7608,0.4002,-0.5231,0.5843,-16.34,-28.47,-43.59,22.93,-29.97,33.48,cam0,images/cam0/000000.png
0,-0.2852,-0.4969,-0.7608,0.4002,-0.5231,0.5843,-16.34,-28.47,-43.59,22.93,-29.97,33.48,cam3,images/cam3/000000.png
1,-0.362,-0.6135,0.5997,0.3726,-0.5828,1.149,-20.74,-35.15,34.36,21.35,-33.39,65.83,cam0,images/cam0/000001.png
1,-0.362,-0.6135,0.5997,0.3726,-0.5828,1.149,-20.74,-35.15,34.36,21.35,-33.39,65.83,cam3,images/cam3/000001.png
2,-0.3328,0.1532,0.3175,0.6151,-0.141,0.8866,-19.07,8.78,18.19,35.24,-8.08,50.8,cam0,images/cam0/000002.png
2,-0.3328,0.1532,0.3175,0.6151,-0.141,0.8866,-19.07,8.78,18.19,35.24,-8.08,50.8,cam3,images/cam3/000002.png
3,-1.3175,-0.1901,-0.5491,-0.3082,-1.0844,0.1595,-75.49,-10.89,-31.46,-17.66,-62.13,9.14,cam0,images/cam0/000003.png
3,-1.3175,-0.1901,-0.5491,-0.3082,-1.0844,0.1595,-75.49,-10.89,-31.46,-17.66,-62.13,9.14,cam3,images/cam3/000003.png
4,-1.1381,0.4571,0.5353,-0.839,-0.6625,0.7346,-65.21,26.19,30.67,-48.07,-37.96,42.09,cam0,images/cam0/000004.png
4,-1.1381,0.4571,0.5353,-0.839,-0.6625,0.7346,-65.21,26.19,30.67,-48.07,-37.96,42.09,cam3,images/cam3/000004.png
5,-0.5398,-0.0721,-0.5292,0.8252,-1.3085,-0.4571,-30.93,-4.13,-30.32,47.28,-74.97,-26.19,cam0,images/cam0/000005.png
5,-0.5398,-0.0721,-0.5292,0.8252,-1.3085,-0.4571,-30.93,-4.13,-30.32,47.28,-74.97,-26.19,cam3,images/cam3/000005.png
6,0.7009,0.6013,0.1073,-0.0827,0.1595,-0.8543,40.16,34.45,6.15,-4.74,9.14,-48.95,cam0,images/cam0/000006.png
