index,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,camera,image_path
0,0.1025,1.3388,1.0118,-0.0064,1.1771,0.0126,5.87,76.71,57.97,-0.37,67.44,0.72,front,images/front/000000.png
0,0.1025,1.3388,1.0118,-0.0064,1.1771,0.0126,5.87,76.71,57.97,-0.37,67.44,0.72,right,images/right/000000.png
0,0.1025,1.3388,1.0118,-0.0064,1.1771,0.0126,5.87,76.71,57.97,-0.37,67.44,0.72,left,images/left/000000.png
0,0.1025,1.3388,1.0118,-0.0064,1.1771,0.0126,5.87,76.71,57.97,-0.37,67.44,0.72,top,images/top/000000.png
1,0.29,1.2564,1.5784,-0.4755,0.0266,0.0126,16.62,71.99,90.44,-27.25,1.52,0.72,front,images/front/000001.png
1,0.29,1.2564,1.5784,-0.4755,0.0266,0.0126,16.62,71.99,90.44,-27.25,1.52,0.72,right,images/right/000001.png
1,0.29,1.2564,1.5784,-0.4755,0.0266,0.0126,16.62,71.99,90.44,-27.25,1.52,0.72,left,images/left/000001.png
1,0.29,1.2564,1.5784,-0.4755,0.0266,0.0126,16.62,71.99,90.44,-27.25,1.52,0.72,top,images/top/000001.png
2,-1.1648,-0.7809,-0.5322,-1.581,-1.0491,0.0126,-66.74,-44.74,-30.49,-90.58,-60.11,0.72,front,images/front/000002.png
2,-1.1648,-0.7809,-0.5322,-1.581,-1.0491,0.0126,-66.74,-44.74,-30.49,-90.58,-60.11,0.72,right,images/right/000002.png
2,-1.1648,-0.7809,-0.5322,-1.581,-1.0491,0.0126,-66.74,-44.74,-30.49,-90.58,-60.11,0.72,left,images/left/000002.png
2,-1.1648,-0.7809,-0.5322,-1.581,-1.0491,0.0126,-66.74,-44.74,-30.49,-90.58,-60.11,0.72,top,images/top/000002.png
3,1.0665,-1.1186,-0.7976,0.3561,-0.7705,0.1072,61.11,-64.09,-45.7,20.41,-44.15,6.14,front,images/front/000003.png
3,1.0665,-1.1186,-0.7976,0.3561,-0.7705,0.1072,61.11,-64.09,-45.7,20.41,-44.15,6.14,right,images/right/000003.png
3,1.0665,-1.1186,-0.7976,0.3561,-0.7705,0.1072,61.11,-64.09,-45.7,20.41,-44.15,6.14,left,images/left/000003.png
3,1.0665,-1.1186,-0.7976,0.3561,-0.7705,0.1072,61.11,-64.09,-45.7,20.41,-44.15,6.14,top,images/top/000003.png
4,0.7125,1.3057,1.5874,-0.6628,-0.0104,0.1008,40.82,74.81,90.95,-37.98,-0.59,5.78,front,images/front/000004.png
4,0.7125,1.3057,1.5874,-0.6628,-0.0104,0.1008,40.82,74.81,90.95,-37.98,-0.59,5.78,right,images/right/000004.png
4,0.7125,1.3057,1.5874,-0.6628,-0.0104,0.1008,40.82,74.81,90.95,-37.98,-0.59,5.78,left,images/left/000004.png
4,0.7125,1.3057,1.5874,-0.6628,-0.0104,0.1008,40.82,74.81,90.95,-37.98,-0.59,5.78,top,images/top/000004.png
5,1.0718,1.265,1.3012,-0.5951,-1.5827,0.1217,61.41,72.48,74.56,-34.1,-90.68,6.97,front,images/front/000005.png
5,1.0718,1.265,1.3012,-0.5951,-1.5827,0.1217,61.41,72.48,74.56,-34.1,-90.68,6.97,right,images/right/000005.png
5,1.0718,1.265,1.3012,-0.5951,-1.5827,0.1217,61.41,72.48,74.56,-34.1,-90.68,6.97,left,images/left/000005.png
5,1.0718,1.265,1.3012,-0.5951,-1.5827,0.1217,61.41,72.48,74.56,-34.1,-90.68,6.97,top,images/top/000005.png
6,0.8808,1.7586,0.8305,-0.9603,0.0272,0.2824,50.46,100.76,47.59,-55.02,1.56,16.18,front,images/front/000006.png
6,0.8808,1.7586,0.8305,-0.9603,0.0272,0.2824,50.46,100.76,47.59,-55.02,1.56,16.18,right,images/right/000006.png
6,0.8808,1.7586,0.8305,-0.9603,0.0272,0.2824,50.46,100.76,47.59,-55.02,1.56,16.18,left,images/left/000006.png
6,0.8808,1.7586,0.8305,-0.9603,0.0272,0.2824,50.46,100.76,47.59,-55.02,1.56,16.18,top,images/top/000006.png
7,1.959,0.1775,0.9546,0.4041,0.0239,0.2824,112.24,10.17,54.7,23.15,1.37,16.18,front,images/front/000007.png
7,1.959,0.1775,0.9546,0.4041,0.0239,0.2824,112.24,10.17,54.7,23.15,1.37,16.18,right,images/right/000007.png
7,1.959,0.1775,0.9546,0.4041,0.0239,0.2824,112.24,10.17,54.7,23.15,1.37,16.18,left,images/left/000007.png
7,1.959,0.1775,0.9546,0.4041,0.0239,0.2824,112.24,10.17,54.7,23.15,1.37,16.18,top,images/top/000007.png
8,-0.0692,-1.6374,-0.3046,-0.8786,-0.0293,0.2824,-3.96,-93.82,-17.45,-50.34,-1.68,16.18,front,images/front/000008.png
8,-0.0692,-1.6374,-0.3046,-0.8786,-0.0293,0.2824,-3.96,-93.82,-17.45,-50.34,-1.68,16.18,right,images/right/000008.png
8,-0.0692,-1.6374,-0.3046,-0.8786,-0.0293,0.2824,-3.96,-93.82,-17.45,-50.34,-1.68,16.18,left,images/left/000008.png
8,-0.0692,-1.6374,-0.3046,-0.8786,-0.0293,0.2824,-3.96,-93.82,-17.45,-50.34,-1.68,16.18,top,images/top/000008.png
9,0.8443,-0.1472,-1.1436,-0.8707,-0.0147,0.2876,48.37,-8.43,-65.52,-49.89,-0.84,16.48,front,images/front/000009.png
9,0.8443,-0.1472,-1.1436,-0.8707,-0.0147,0.2876,48.37,-8.43,-65.52,-49.89,-0.84,16.48,right,images/right/000009.png
9,0.8443,-0.1472,-1.1436,-0.8707,-0.0147,0.2876,48.37,-8.43,-65.52,-49.89,-0.84,16.48,left,images/left/000009.png
9,0.8443,-0.1472,-1.1436,-0.8707,-0.0147,0.2876,48.37,-8.43,-65.52,-49.89,-0.84,16.48,top,images/top/000009.png
10,-1.5328,-1.8245,0.2949,-0.5203,-0.8986,0.2876,-87.82,-104.54,16.9,-29.81,-51.48,16.48,front,images/front/000010.png
10,-1.5328,-1.8245,0.2949,-0.5203,-0.8986,0.2876,-87.82,-104.54,16.9,-29.81,-51.48,16.48,right,images/right/000010.png
10,-1.5328,-1.8245,0.2949,-0.5203,-0.8986,0.2876,-87.82,-104.54,16.9,-29.81,-51.48,16.48,left,images/left/000010.png
10,-1.5328,-1.8245,0.2949,-0.5203,-0.8986,0.2876,-87.82,-104.54,16.9,-29.81,-51.48,16.48,top,images/top/000010.png
11,0.6651,-2.2878,1.168,-0.5235,1.0686,0.2834,38.11,-131.08,66.92,-29.99,61.23,16.24,front,images/front/000011.png
11,0.6651,-2.2878,1.168,-0.5235,1.0686,0.2834,38.11,-131.08,66.92,-29.99,61.23,16.24,right,images/right/000011.png
11,0.6651,-2.2878,1.168,-0.5235,1.0686,0.2834,38.11,-131.08,66.92,-29.99,61.23,16.24,left,images/left/000011.png
11,0.6651,-2.2878,1.168,-0.5235,1.0686,0.2834,38.11,-131.08,66.92,-29.99,61.23,16.24,top,images/top/000011.png
12,1.0357,-2.1858,0.7257,-0.514,0.8626,0.2812,59.34,-125.24,41.58,-29.45,49.42,16.11,front,images/front/000012.png
12,1.0357,-2.1858,0.7257,-0.514,0.8626,0.2812,59.34,-125.24,41.58,-29.45,49.42,16.11,right,images/right/000012.png
12,1.0357,-2.1858,0.7257,-0.514,0.8626,0.2812,59.34,-125.24,41.58,-29.45,49.42,16.11,left,images/left/000012.png
12,1.0357,-2.1858,0.7257,-0.514,0.8626,0.2812,59.34,-125.24,41.58,-29.45,49.42,16.11,top,images/top/000012.png
13,1.873,0.306,1.753,-0.2896,-0.3283,0.2937,107.31,17.54,100.44,-16.59,-18.81,16.83,front,images/front/000013.png
13,1.873,0.306,1.753,-0.2896,-0.3283,0.2937,107.31,17.54,100.44,-16.59,-18.81,16.83,right,images/right/000013.png
13,1.873,0.306,1.753,-0.2896,-0.3283,0.2937,107.31,17.54,100.44,-16.59,-18.81,16.83,left,images/left/000013.png
13,1.873,0.306,1.753,-0.2896,-0.3283,0.2937,107.31,17.54,100.44,-16.59,-18.81,16.83,top,images/top/000013.png
14,0.4692,-0.1169,1.3208,0.9533,-1.7482,0.2812,26.88,-6.7,75.68,54.62,-100.17,16.11,front,images/front/000014.png
14,0.4692,-0.1169,1.3208,0.9533,-1.7482,0.2812,26.88,-6.7,75.68,54.62,-100.17,16.11,right,images/right/000014.png
14,0.4692,-0.1169,1.3208,0.9533,-1.7482,0.2812,26.88,-6.7,75.68,54.62,-100.17,16.11,left,images/left/000014.png
14,0.4692,-0.1169,1.3208,0.9533,-1.7482,0.2812,26.88,-6.7,75.68,54.62,-100.17,16.11,top,images/top/000014.png
15,-0.1307,-1.6987,-0.6207,0.5812,-1.8118,0.2812,-7.49,-97.33,-35.56,33.3,-103.81,16.11,front,images/front/000015.png
15,-0.1307,-1.6987,-0.6207,0.5812,-1.8118,0.2812,-7.49,-97.33,-35.56,33.3,-103.81,16.11,right,images/right/000015.png
15,-0.1307,-1.6987,-0.6207,0.5812,-1.8118,0.2812,-7.49,-97.33,-35.56,33.3,-103.81,16.11,left,images/left/000015.png
15,-0.1307,-1.6987,-0.6207,0.5812,-1.8118,0.2812,-7.49,-97.33,-35.56,33.3,-103.81,16.11,top,images/top/000015.png
16,-0.1,-1.5654,-0.4831,-0.5281,0.2401,0.1544,-5.73,-89.69,-27.68,-30.26,13.76,8.85,front,images/front/000016.png
16,-0.1,-1.5654,-0.4831,-0.5281,0.2401,0.1544,-5.73,-89.69,-27.68,-30.26,13.76,8.85,right,images/right/000016.png
16,-0.1,-1.5654,-0.4831,-0.5281,0.2401,0.1544,-5.73,-89.69,-27.68,-30.26,13.76,8.85,left,images/left/000016.png
16,-0.1,-1.5654,-0.4831,-0.5281,0.2401,0.1544,-5.73,-89.69,-27.68,-30.26,13.76,8.85,top,images/top/000016.png
17,-1.2587,-0.8541,-1.3412,-0.3958,0.3965,0.167,-72.12,-48.94,-76.84,-22.68,22.72,9.57,front,images/front/000017.png
17,-1.2587,-0.8541,-1.3412,-0.3958,0.3965,0.167,-72.12,-48.94,-76.84,-22.68,22.72,9.57,right,images/right/000017.png
17,-1.2587,-0.8541,-1.3412,-0.3958,0.3965,0.167,-72.12,-48.94,-76.84,-22.68,22.72,9.57,left,images/left/000017.png
17,-1.2587,-0.8541,-1.3412,-0.3958,0.3965,0.167,-72.12,-48.94,-76.84,-22.68,22.72,9.57,top,images/top/000017.png
18,1.0523,1.5133,0.0424,-0.3558,1.3029,0.0818,60.29,86.71,2.43,-20.39,74.65,4.68,front,images/front/000018.png
18,1.0523,1.5133,0.0424,-0.3558,1.3029,0.0818,60.29,86.71,2.43,-20.39,74.65,4.68,right,images/right/000018.png
18,1.0523,1.5133,0.0424,-0.3558,1.3029,0.0818,60.29,86.71,2.43,-20.39,74.65,4.68,left,images/left/000018.png
18,1.0523,1.5133,0.0424,-0.3558,1.3029,0.0818,60.29,86.71,2.43,-20.39,74.65,4.68,top,images/top/000018.png
19,0.1791,-0.4805,0.3789,1.2449,-0.4543,0.0796,10.26,-27.53,21.71,71.33,-26.03,4.56,front,images/front/000019.png
19,0.1791,-0.4805,0.3789,1.2449,-0.4543,0.0796,10.26,-27.53,21.71,71.33,-26.03,4.56,right,images/right/000019.png
19,0.1791,-0.4805,0.3789,1.2449,-0.4543,0.0796,10.26,-27.53,21.71,71.33,-26.03,4.56,left,images/left/000019.png
19,0.1791,-0.4805,0.3789,1.2449,-0.4543,0.0796,10.26,-27.53,21.71,71.33,-26.03,4.56,top,images/top/000019.png
20,1.7034,1.4205,-0.0177,1.4021,0.1909,0.0922,97.6,81.39,-1.01,80.34,10.94,5.28,front,images/front/000020.png
20,1.7034,1.4205,-0.0177,1.4021,0.1909,0.0922,97.6,81.39,-1.01,80.34,10.94,5.28,right,images/right/000020.png
20,1.7034,1.4205,-0.0177,1.4021,0.1909,0.0922,97.6,81.39,-1.01,80.34,10.94,5.28,left,images/left/000020.png
20,1.7034,1.4205,-0.0177,1.4021,0.1909,0.0922,97.6,81.39,-1.01,80.34,10.94,5.28,top,images/top/000020.png
21,1.2101,1.2005,-0.3441,1.4491,-0.9279,0.0729,69.33,68.78,-19.72,83.02,-53.16,4.17,front,images/front/000021.png
21,1.2101,1.2005,-0.3441,1.4491,-0.9279,0.0729,69.33,68.78,-19.72,83.02,-53.16,4.17,right,images/right/000021.png
21,1.2101,1.2005,-0.3441,1.4491,-0.9279,0.0729,69.33,68.78,-19.72,83.02,-53.16,4.17,left,images/left/000021.png
21,1.2101,1.2005,-0.3441,1.4491,-0.9279,0.0729,69.33,68.78,-19.72,83.02,-53.16,4.17,top,images/top/000021.png
22,-0.9602,-0.2574,1.2182,1.957,-0.8567,0.0729,-55.01,-14.75,69.8,112.13,-49.08,4.17,front,images/front/000022.png
22,-0.9602,-0.2574,1.2182,1.957,-0.8567,0.0729,-55.01,-14.75,69.8,112.13,-49.08,4.17,right,images/right/000022.png
22,-0.9602,-0.2574,1.2182,1.957,-0.8567,0.0729,-55.01,-14.75,69.8,112.13,-49.08,4.17,left,images/left/000022.png
22,-0.9602,-0.2574,1.2182,1.957,-0.8567,0.0729,-55.01,-14.75,69.8,112.13,-49.08,4.17,top,images/top/000022.png
23,-0.1751,1.3879,-0.1756,-0.5818,-0.1451,0.0729,-10.03,79.52,-10.06,-33.33,-8.32,4.17,front,images/front/000023.png
23,-0.1751,1.3879,-0.1756,-0.5818,-0.1451,0.0729,-10.03,79.52,-10.06,-33.33,-8.32,4.17,right,images/right/000023.png
23,-0.1751,1.3879,-0.1756,-0.5818,-0.1451,0.0729,-10.03,79.52,-10.06,-33.33,-8.32,4.17,left,images/left/000023.png
23,-0.1751,1.3879,-0.1756,-0.5818,-0.1451,0.0729,-10.03,79.52,-10.06,-33.33,-8.32,4.17,top,images/top/000023.png
24,-0.4762,1.9139,0.4625,-1.0877,0.146,0.0603,-27.29,109.66,26.5,-62.32,8.36,3.46,front,images/front/000024.png
24,-0.4762,1.9139,0.4625,-1.0877,0.146,0.0603,-27.29,109.66,26.5,-62.32,8.36,3.46,right,images/right/000024.png
24,-0.4762,1.9139,0.4625,-1.0877,0.146,0.0603,-27.29,109.66,26.5,-62.32,8.36,3.46,left,images/left/000024.png
24,-0.4762,1.9139,0.4625,-1.0877,0.146,0.0603,-27.29,109.66,26.5,-62.32,8.36,3.46,top,images/top/000024.png
25,-0.5442,1.9094,0.1014,-0.0068,0.0424,0.0603,-31.18,109.4,5.81,-0.39,2.43,3.46,front,images/front/000025.png
25,-0.5442,1.9094,0.1014,-0.0068,0.0424,0.0603,-31.18,109.4,5.81,-0.39,2.43,3.46,right,images/right/000025.png
25,-0.5442,1.9094,0.1014,-0.0068,0.0424,0.0603,-31.18,109.4,5.81,-0.39,2.43,3.46,left,images/left/000025.png
25,-0.5442,1.9094,0.1014,-0.0068,0.0424,0.0603,-31.18,109.4,5.81,-0.39,2.43,3.46,top,images/top/000025.png
26,-0.0428,0.8862,-1.1034,0.0522,1.5158,0.0729,-2.45,50.77,-63.22,2.99,86.85,4.17,front,images/front/000026.png
26,-0.0428,0.8862,-1.1034,0.0522,1.5158,0.0729,-2.45,50.77,-63.22,2.99,86.85,4.17,right,images/right/000026.png
26,-0.0428,0.8862,-1.1034,0.0522,1.5158,0.0729,-2.45,50.77,-63.22,2.99,86.85,4.17,left,images/left/000026.png
26,-0.0428,0.8862,-1.1034,0.0522,1.5158,0.0729,-2.45,50.77,-63.22,2.99,86.85,4.17,top,images/top/000026.png
27,-0.8333,-1.2179,-1.6597,-1.0776,-0.1424,-0.3207,-47.75,-69.78,-95.09,-61.74,-8.16,-18.38,front,images/front/000027.png
27,-0.8333,-1.2179,-1.6597,-1.0776,-0.1424,-0.3207,-47.75,-69.78,-95.09,-61.74,-8.16,-18.38,right,images/right/000027.png
27,-0.8333,-1.2179,-1.6597,-1.0776,-0.1424,-0.3207,-47.75,-69.78,-95.09,-61.74,-8.16,-18.38,left,images/left/000027.png
